UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
BA;Barreiras;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;42,9758973;164039;3817;3817
BA;Cotegipe;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;42,1251462;36017;855;855
BA;Santa Maria da Vitória;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;43,76515881;90944;2078;2212
BA;Paulo Afonso;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;10;3800;380;380
BA;Feira de Santana;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;42,63714903;98705;2315;2315
BA;Alagoinhas;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;35;175;5;5
BA;Salvador;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;45,08988764;20065;445;445
BA;Boquira;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;25,77967417;33230;1289;1298
BA;Seabra;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;25,34535738;113826;4491;4491
BA;Jequié;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;44,76885475;64109;1432;1432
BA;Livramento do Brumado;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;54,3062201;90800;1672;1672
BA;Itapetinga;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;26,54060416;67652;2549;2549
BA;Barra;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;16,67852257;12192;731;790
CE;Sobral;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40,67428571;7118;175;215
CE;Ipu;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;33,17060368;63190;1905;1905
CE;Chorozinho;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;36,58708415;56088;1533;1533
CE;Sertão de Inhamuns;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;29,02777778;10450;360;360
